"Contract Number","Organization Type","Plan Type","Organization Name","Organization Marketing Name","Parent Organization","Contract Effective Date","Offers Part D","MAOnly","PartD","Enrollment"
"H2722","Local CCP","HMO/HMOPOS","PRIMEWELL HEALTH SERVICES OF ARKANSAS, INC.","Primewell Health Services","Louisiana Health Service & Indemnity Company","01/01/2020","Yes","*","624","624"
"H2737","Local CCP","Local PPO","HEALTH NEW ENGLAND, INC.","Health New England Medicare Advantage Plans","Baystate Health, Inc.","01/01/2022","Yes","*","2856","2856"
"H2752","Local CCP","HMO/HMOPOS","CIGNA HEALTHCARE OF CONNECTICUT INC.","Cigna Healthcare","The Cigna Group","01/01/2022","Yes","*","159","159"
"H2765","Local CCP","HMO/HMOPOS","SUMMIT HEALTH PLAN, INC.","Summit Health Plan, Inc.","Moda Partners, Inc.","01/01/2021","Yes","524","2276","2800"
"H2775","Local CCP","Local PPO","AMERICAN PROGRESSIVE LIFE & HLTH INS COMPANY OF NY","Wellcare","Centene Corporation","01/01/2009","Yes","*","98810","98810"
"H2782","Local CCP","HMO/HMOPOS","WESTERN HEALTH ADVANTAGE","Western Health Advantage","Western Health Advantage","01/01/2021","Yes","465","3644","4109"
"H2802","Local CCP","HMO/HMOPOS","UNITEDHEALTHCARE OF THE MIDLANDS, INC.","UnitedHealthcare","UnitedHealth Group, Inc.","10/01/1985","Yes","9985","270317","280302"
"H2815","National PACE","National PACE","VOANS SENIOR COMMUNITY CARE OF COLORADO, INC","Senior CommUnity Care of Colorado","Volunteers of America National Services","08/01/2008","Yes","*","277","277"
"H2816","PFFS","PFFS","AMERICAN PROGRESSIVE LIFE & HLTH INS COMPANY OF NY","Wellcare","Centene Corporation","01/01/2011","Yes","2000","584","2584"
"H2819","Local CCP","HMO/HMOPOS","CALIFORNIA PHYSICIANS' SERVICE","Blue Shield of California","California Physicians' Service","01/01/2024","Yes","*","17904","17904"
"H2835","National PACE","National PACE","THE CASCADE PACE, INC.","Thome PACE","United Methodist Retirement Communities, Inc.","02/01/2016","Yes","*","210","210"
"H2836","Local CCP","Local PPO","ANTHEM HEALTH PLANS, INC.","Anthem Blue Cross and Blue Shield","Elevance Health, Inc.","01/01/2012","Yes","*","9761","9761"
"H2853","Local CCP","HMO/HMOPOS","CENTENE VENTURE COMPANY TENNESSEE","Ascension Complete","Centene Corporation","01/01/2021","Yes","*","*","*"
"H2879","Local CCP","HMO/HMOPOS","MOLINA HEALTHCARE OF WISCONSIN, INC.","Molina Healthcare of Wisconsin and Massachusetts","Molina Healthcare, Inc.,","01/01/2014","Yes","*","1472","1472"
"H2882","National PACE","National PACE","PACE CENTRAL MICHIGAN, INC.","PACE Central Michigan","PACE Central Michigan, Inc.","11/01/2018","Yes","*","197","197"
"H2915","Local CCP","HMO/HMOPOS","PENNSYLVANIA HEALTH & WELLNESS, INC.","Wellcare by Allwell","Centene Corporation","01/01/2018","Yes","202","10874","11076"
"H2923","Local CCP","HMO/HMOPOS","DEVOTED HEALTH PLAN OF OREGON INC","Devoted Health","Devoted Health, Inc.","01/01/2023","Yes","*","950","950"
"H2926","Local CCP","HMO/HMOPOS","PRIMEWEST RURAL MN HEALTH CARE ACCESS INITIATIVE","PrimeWest Health","PrimeWest Rural MN Health Care Access Initiative","01/01/2008","Yes","*","319","319"
"H2936","National PACE","National PACE","LIFECIRCLES","LIFECIRCLES","LifeCircles","02/01/2009","Yes","*","388","388"
"H2937","National PACE","National PACE","SENIOR LIFE GREENSBURG, INC.","Senior LIFE Greensburg","Senior LIFE Greensburg, Inc.","02/01/2013","Yes","*","199","199"
"H2941","National PACE","National PACE","SENTARA LIFE CARE CORPORATION, INC","Sentara PACE","Sentara Health Care (SHC)","11/01/2007","Yes","*","213","213"
"H2942","Local CCP","HMO/HMOPOS","COX HEALTH SYSTEMS HMO INC","Cox HealthPlans","CoxHealth","01/01/2023","Yes","*","3725","3725"
"H2944","PFFS","PFFS","HUMANA INSURANCE COMPANY","Humana","Humana Inc.","01/01/2010","Yes","*","724","724"
"H2960","Local CCP","HMO/HMOPOS","HOMETOWN HEALTH PLAN, INC.","Senior Care Plus","Renown Health","10/01/1995","Yes","530","18713","19243"
