"Contract Number","Organization Type","Plan Type","Organization Name","Organization Marketing Name","Parent Organization","Contract Effective Date","Offers Part D","MAOnly","PartD","Enrollment"
"H7678","Local CCP","HMO/HMOPOS","MOLINA HEALTHCARE OF TEXAS, INC.","Molina Healthcare of Texas, Inc.","Molina Healthcare, Inc.,","01/01/2008","Yes","*","7545","7545"
"H7680","Local CCP","HMO/HMOPOS","PROMINENCE HEALTHFIRST OF TEXAS","Prominence Health Plan","Universal Health Services, Inc.","01/01/2015","Yes","*","7205","7205"
"H7746","Local CCP","HMO/HMOPOS","MDWISE, INC","MDwise Medicare","McLaren Health Care Corporation","01/01/2022","Yes","*","56","56"
"H7778","Local CCP","HMO/HMOPOS","UNITEDHEALTHCARE OF ILLINOIS, INC.","UnitedHealthcare","UnitedHealth Group, Inc.","01/01/2023","Yes","*","58","58"
"H7779","Local CCP","HMO/HMOPOS","AMERICAN HEALTH PLAN, INC.","American Health Advantage of Tennessee","Mitchell Family Office","01/01/2019","Yes","*","792","792"
"H7787","Local CCP","Local PPO","HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.","Cigna Healthcare","The Cigna Group","01/01/2009","Yes","4758","21211","25969"
"H7813","Local CCP","HMO/HMOPOS","ICIRCLE SERVICES OF THE FINGER LAKES, INC.","iCircle Services of the Finger Lakes, Inc","CDS Monarch, Inc.","01/01/2023","Yes","*","*","*"
"H7831","National PACE","National PACE","PRIME ACQUISITIONS, LLC","New Horizons PACE","Midwest Christian Villages, Inc.","05/01/2022","Yes","*","40","40"
"H7833","Demo","Medicare-Medicaid Plan HMO/HMOPOS","UNITEDHEALTHCARE COMMUNITY PLAN OF TEXAS, L.L.C.","UnitedHealthcare","UnitedHealth Group, Inc.","03/01/2015","Yes","*","3145","3145"
"H7844","Demo","Medicare-Medicaid Plan HMO/HMOPOS","MOLINA HEALTHCARE OF MICHIGAN, INC.","Molina Healthcare of Michigan","Molina Healthcare, Inc.,","05/01/2015","Yes","*","11114","11114"
"H7849","Local CCP","Local PPO","CIGNA HEALTH AND LIFE INSURANCE COMPANY","Cigna Healthcare","The Cigna Group","01/01/2020","Yes","785","88097","88882"
"H7855","National PACE","National PACE","BRANDMAN CENTERS FOR SENIOR CARE, INC.","Brandman Centers for Senior Care","Los Angeles Jewish Home for the Aging","02/01/2013","Yes","*","216","216"
"H7917","Local CCP","Local PPO","BLUECROSS BLUESHIELD OF TENNESSEE, INC.","BlueCross BlueShield of Tennessee","BlueCross BlueShield of Tennessee","01/01/2008","Yes","1552","155087","156639"
"H7925","Local CCP","HMO/HMOPOS","CENTENE VENTURE COMPANY INDIANA, INC.","Wellcare by Allwell","Centene Corporation","01/01/2021","Yes","*","680","680"
"H7993","Local CCP","HMO/HMOPOS","DEVOTED HEALTH PLAN OF TEXAS, INC.","Devoted Health","Devoted Health, Inc.","01/01/2020","Yes","*","44293","44293"
"H8003","Local CCP","Local PPO","BLUECROSS AND BLUESHIELD OF SOUTH CAROLINA","Blue Cross Blue Shield of South Carolina","BlueCross BlueShield of South Carolina (BCBSSC)","01/01/2018","Yes","264","23887","24151"
"H8010","Local CCP","HMO/HMOPOS","CLOVER HMO OF NEW JERSEY INC.","Clover Health","Clover Health Holdings, Inc.","01/01/2019","Yes","*","3606","3606"
"H8014","Local CCP","Local PPO","CLEAR SPRING HEALTH INSURANCE COMPANY","Clear Spring Health","Group 1001","01/01/2023","Yes","*","84","84"
"H8019","Local CCP","HMO/HMOPOS","MEDICA CENTRAL HEALTH PLAN","Medica","Medica Holding Company","01/01/2021","Yes","23","456","479"
"H8026","Demo","Medicare-Medicaid Plan HMO/HMOPOS","AETNA BETTER HEALTH OF MICHIGAN INC.","Aetna Better Health Premier Plan","CVS Health Corporation","03/01/2015","Yes","*","9801","9801"
"H8046","Demo","Medicare-Medicaid Plan HMO/HMOPOS","MOLINA HEALTHCARE OF ILLINOIS, INC.","Molina Healthcare of Illinois","Molina Healthcare, Inc.,","02/01/2014","Yes","*","18132","18132"
"H8064","Local CCP","Local PPO","FIRSTCAROLINACARE INSURANCE COMPANY","FirstMedicare Direct","The Carle Foundation","01/01/2013","Yes","*","414","414"
"H8067","Local CCP","HMO/HMOPOS","PROVIDER PARTNERS HEALTH PLAN, INC.","Provider Partners Health Plans","Rifkin Managed Care Holding, LLC","01/01/2016","Yes","*","240","240"
"H8070","Local CCP","Local PPO","UCARE MINNESOTA","UCare","UCare Minnesota","01/01/2023","Yes","*","14846","14846"
"H8082","National PACE","National PACE","STOCKTON PACE","WelbeHealth","WelbeHealth LLC.","01/01/2019","Yes","*","633","633"
"H8093","Local CCP","HMO/HMOPOS","GEORGIA ASSURANCE, INC.","Georgia Health Advantage","Mitchell Family Office","01/01/2020","Yes","*","1476","1476"
"H8095","Local CCP","HMO/HMOPOS","WELLMARK ADVANTAGE HEALTH PLAN, INC.","Wellmark Advantage Health Plan","Blue Cross Blue Shield of Michigan Mutual Ins. Co.","01/01/2022","Yes","*","775","775"
"H8096","National PACE","National PACE","CENTRA HEALTH, INC.","Centra PACE","Centra Health, Inc.","02/01/2009","Yes","*","284","284"
"H8121","Local CCP","Local PPO","CENTENE VENTURE COMPANY TENNESSEE","Ascension Complete","Centene Corporation","01/01/2022","Yes","*","*","*"
"H8133","Local CCP","HMO/HMOPOS","GHS INSURANCE COMPANY","Blue Cross and Blue Shield of Texas","Health Care Service Corporation","01/01/2015","Yes","*","4371","4371"
"H8142","Local CCP","HMO/HMOPOS","SCOTT AND WHITE HEALTH PLAN","Baylor Scott & White Health Plan","Baylor Scott & White Holdings","01/01/2018","Yes","2699","24606","27305"
"H8145","PFFS","PFFS","HUMANA INSURANCE COMPANY","Humana","Humana Inc.","01/01/2011","Yes","2881","21839","24720"
"H8166","Local CCP","Local PPO","HIGHMARK BCBSD, INC.","Highmark Blue Cross Blue Shield","Highmark Health","01/01/2022","Yes","179","9306","9485"
"H8173","Local CCP","HMO/HMOPOS","DEVOTED HEALTH PLAN OF ARIZONA, INC.","Devoted Health","Devoted Health, Inc.","01/01/2021","Yes","777","16035","16812"
"H8176","Local CCP","HMO/HMOPOS","MOLINA HEALTHCARE OF SOUTH CAROLINA,INC","Molina Healthcare of South Carolina","Molina Healthcare, Inc.,","01/01/2020","Yes","*","2191","2191"
"H8181","Local CCP","Local PPO","SAPPHIRE EDGE, INC.","Blue Cross and Blue Shield of Nebraska","Blue Cross Blue Shield of Nebraska","01/01/2020","Yes","*","6996","6996"
"H8189","Local CCP","HMO/HMOPOS","MANAGED HEALTH SERVICES INSURANCE CORP.","Wellcare by Allwell","Centene Corporation","01/01/2008","Yes","*","4814","4814"
"H8197","Demo","Medicare-Medicaid Plan HMO/HMOPOS","MOLINA HEALTHCARE OF TEXAS, INC.","Molina Healthcare of Texas","Molina Healthcare, Inc.,","03/01/2015","Yes","*","9949","9949"
"H8211","Local CCP","Local PPO","CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.","UnitedHealthcare","UnitedHealth Group, Inc.","01/01/2018","Yes","792","18150","18942"
"H8213","Demo","Medicare-Medicaid Plan HMO/HMOPOS","SELECT HEALTH OF SOUTH CAROLINA, INC.","FIRST CHOICE VIP CARE PLUS","Independence Health Group, Inc.","02/01/2015","Yes","*","4280","4280"
"H8225","Local CCP","HMO/HMOPOS","CENTENE VENTURE COMPANY FLORIDA","Wellcare by Allwell","Centene Corporation","01/01/2020","Yes","*","1136","1136"
"H8244","Local CCP","Local PPO","ALIGNMENT HEALTH PLAN OF NEVADA, INC.","Alignment Health Plan","Alignment Healthcare USA, LLC","01/01/2023","Yes","*","22","22"
"H8293","Local CCP","HMO/HMOPOS","CLEAR SPRING HEALTH (VA), INC.","Clear Spring Health","Group 1001","01/01/2020","Yes","*","541","541"
"H8298","Local CCP","HMO/HMOPOS","HORIZON HEALTHCARE OF NEW JERSEY, INC.","Horizon Blue Cross Blue Shield of New Jersey","Horizon Mutual Holdings, Inc","01/01/2017","Yes","*","20307","20307"
"H8330","Local CCP","HMO/HMOPOS","TUFTS ASSOCIATED HEALTH MAINTENANCE ORGANIZATION","Tufts Health Plan","Point32Health, Inc.","01/01/2022","Yes","*","9112","9112"
"H8332","Local CCP","HMO/HMOPOS","AETNA BETTER HEALTH OF KANSAS, INC.","Aetna Medicare","CVS Health Corporation","01/01/2021","Yes","*","14139","14139"
"H8379","Local CCP","HMO/HMOPOS","PRIORITY HEALTH CHOICE, INC.","Priority Health Medicare","Corewell Health","01/01/2020","Yes","*","10989","10989"
"H8385","Local CCP","Local PPO","SANFORD HEALTH PLAN","Align powered by Sanford Health Plan","Sanford Health","01/01/2022","Yes","*","3378","3378"
"H8390","Local CCP","HMO/HMOPOS","CARESOURCE GEORGIA CO.","CareSource","CareSource","01/01/2021","Yes","*","*","*"
"H8424","National PACE","National PACE","SIOUXLAND PACE, INC.","SIOUXLAND PACE, INC.","Iowa Health System","08/01/2008","Yes","*","208","208"
"H8432","Local CCP","HMO/HMOPOS","EMPIRE HEALTHCHOICE HMO, INC.","Anthem BlueCross BlueShield","Elevance Health, Inc.","01/01/2014","Yes","269","31410","31679"
"H8452","Demo","Medicare-Medicaid Plan HMO/HMOPOS","CARESOURCE OHIO, INC.","CareSource MyCare Ohio","CareSource","05/01/2014","Yes","*","15956","15956"
"H8457","Local CCP","HMO/HMOPOS","LONGEVITY HEALTH PLAN OF NEW YORK, INC.","Longevity Health Plan","Longevity Health Founders, LLC","01/01/2019","Yes","*","767","767"
"H8458","Local CCP","Local PPO","SILVERSUMMIT HEALTHPLAN, INC.","Wellcare by Allwell","Centene Corporation","01/01/2022","Yes","*","440","440"
"H8492","Local CCP","HMO/HMOPOS","DIGNITY CARE CORPORATION","Dignity Health Plan","CommCare Corporation","01/01/2020","Yes","*","335","335"
"H8547","Local CCP","HMO/HMOPOS","ILLINOIS BLUE CROSS BLUE SHIELD INSURANCE COMPANY","Blue Cross and Blue Shield of Illinois","Health Care Service Corporation","01/01/2021","Yes","*","1110","1110"
"H8552","Local CCP","Local PPO","ANTHEM BLUE CROSS LIFE AND HEALTH INS COMPANY","Anthem Blue Cross Life and Health Insurance Co.","Elevance Health, Inc.","01/01/2012","Yes","*","14002","14002"
"H8553","Local CCP","Local PPO","WELLCARE HEALTH INSURANCE OF THE SOUTHWEST, INC.","Wellcare","Centene Corporation","01/01/2021","Yes","425","1428","1853"
"H8554","Local CCP","HMO/HMOPOS","GHS INSURANCE COMPANY","Blue Cross and Blue Shield of OK, TX","Health Care Service Corporation","01/01/2014","Yes","*","920","920"
"H8578","Local CCP","HMO/HMOPOS","HEALTH NEW ENGLAND, INC.","Health New England Medicare Advantage Plans","Baystate Health, Inc.","01/01/2009","Yes","277","8476","8753"
"H8597","Local CCP","HMO/HMOPOS","AETNA BETTER HEALTH OF TEXAS INC.","Aetna Medicare","CVS Health Corporation","01/01/2019","Yes","*","25217","25217"
"H8604","Local CCP","Local PPO","THP INSURANCE COMPANY","The Health Plan","The Health Plan of West Virginia, Inc.","01/01/2008","Yes","*","927","927"
"H8614","National PACE","National PACE","MILFORD WELLNESS VILLAGE PACE","Milford Wellness Village PACE","Milford Wellness Village PACE, LLC","06/01/2022","Yes","*","46","46"
"H8634","Local CCP","Local PPO","HEALTH CARE SERVICE CORPORATION","Blue Cross and Blue Shield of IL, NM","Health Care Service Corporation","01/01/2014","Yes","194","38049","38243"
"H8649","Local CCP","HMO/HMOPOS","AETNA HEALTH OF UTAH INC","Aetna Medicare","CVS Health Corporation","01/01/2008","Yes","*","6466","6469"
"H8655","National PACE","National PACE","INNOVAGE VIRGINIA PACE II, LLC","InnovAge Virginia PACE - Richmond and Peninsula","Total Community Options, Inc.","02/01/2008","Yes","*","519","519"
"H8711","Local CCP","Local PPO","WELLCARE HEALTH INSURANCE COMPANY OF NEW JERSEY","Wellcare","Centene Corporation","01/01/2021","Yes","*","86","86"
"H8764","Local CCP","HMO/HMOPOS","ASPIRE HEALTH PLAN","Aspire Health","Montage Health","01/01/2014","Yes","*","7087","7087"
"H8768","Local CCP","Local PPO","CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.","UnitedHealthcare","UnitedHealth Group, Inc.","01/01/2018","Yes","23390","478431","501821"
"H8769","National PACE","National PACE","Center for Gerontology","Ascension Living PACE Michigan","Ascension Health Alliance","08/01/2015","Yes","*","222","222"
"H8777","National PACE","National PACE","COMPLETE SENIOR CARE, INC.","Complete Senior Care","Health Association of Niagara County, Incorp.","08/01/2011","Yes","*","130","130"
"H8783","Local CCP","Local PPO","UCARE HEALTH, INC.","UCare","UCare Minnesota","01/01/2019","Yes","*","2174","2174"
"H8786","Demo","Medicare-Medicaid Plan HMO/HMOPOS","WEllPOINT TEXAS, INC.","Wellpoint STAR+PLUS MMP","Elevance Health, Inc.","03/01/2015","Yes","*","6612","6612"
"H8794","Local CCP","HMO/HMOPOS","KAISER FOUNDATION HP, INC.","Kaiser Permanente","Kaiser Foundation Health Plan, Inc.","01/01/2024","Yes","*","98654","98654"
"H8797","Local CCP","HMO/HMOPOS","PERENNIAL ADVANTAGE OF OHIO, INC.","Perennial Advantage","Perennial Consortium, LLC","01/01/2021","Yes","*","590","590"
"H8800","National PACE","National PACE","TOTAL SENIOR CARE, INC.","Total Senior Care, Inc.","Community Care of Western New York, Inc.","10/01/2008","Yes","*","122","122"
"H8845","Local CCP","HMO/HMOPOS","MOLINA HEALTHCARE OF ARIZONA, INC.","Molina Healthcare of Arizona","Molina Healthcare, Inc.,","01/01/2020","Yes","*","366","366"
"H8849","Local CCP","HMO/HMOPOS","WELLPOINT INSURANCE COMPANY","Wellpoint","Elevance Health, Inc.","01/01/2021","Yes","*","48164","48164"
"H8854","Local CCP","HMO/HMOPOS","CAREFIRST ADVANTAGE DSNP, INC.","CareFirst BlueCross BlueShield Medicare Advantage Dual Prime","CareFirst, Inc.","01/01/2016","Yes","*","5379","5379"
"H8889","Local CCP","Local PPO","MEDICA HEALTH PLANS","Medica","Medica Holding Company","01/01/2019","Yes","1065","47737","48802"
"H8894","Local CCP","HMO/HMOPOS","Inland Empire Health Plan","IEHP DualChoice","INLAND EMPIRE HEALTH PLAN","01/01/2023","Yes","*","34538","34538"
"H8902","Local CCP","HMO/HMOPOS","SCAN HEALTH PLAN TEXAS, INC.","SCAN Health Plan","SCAN Group","01/01/2023","Yes","*","224","224"
"H8908","Local CCP","HMO/HMOPOS","HUMANA MEDICAL PLAN OF MICHIGAN, INC.","Humana","Humana Inc.","01/01/2013","Yes","*","39109","39109"
"H8928","Local CCP","HMO/HMOPOS","FALLON COMMUNITY HEALTH PLAN","Fallon Health","Fallon Community Health Plan, Inc.","01/01/2022","Yes","*","9597","9597"
"H8947","Local CCP","Local PPO","PEAK HEALTH INSURANCE CORPORATION","Peak Health","West Virginia United Health System, Inc.","01/01/2024","Yes","*","1188","1188"
"H8967","Local CCP","HMO/HMOPOS","SANFORD HEALTH PLAN","Great Plains Medicare Advantage","Sanford Health","01/01/2018","Yes","*","213","213"
"H8992","National PACE","National PACE","PACE KC, LLC","PACE KC","Swope Health Services","01/01/2024","Yes","*","*","*"
"H8998","Local CCP","Local PPO","MOUNT CARMEL HEALTH PLAN OF CONNECTICUT INC","Trinity Health Plan Of New England","Trinity Health Corporation","01/01/2023","Yes","*","43","43"
"H9001","Local CCP","HMO/HMOPOS","FALLON COMMUNITY HEALTH PLAN","Fallon Health","Fallon Community Health Plan, Inc.","04/01/1980","Yes","122","11491","11613"
"H9003","Local CCP","HMO/HMOPOS","KAISER FOUNDATION HP OF THE N W","Kaiser Permanente","Kaiser Foundation Health Plan, Inc.","04/01/1980","Yes","3506","100052","103558"
"H9042","Local CCP","Local PPO","SOUTHEASTERN INDIANA HEALTH ORGANIZATION, INC.","MyTruAdvantage","SIHO Holding, Inc.","01/01/2021","Yes","14","1318","1332"
"H9047","Local CCP","HMO/HMOPOS","PROVIDENCE HEALTH ASSURANCE","Providence Medicare Advantage Plans","Providence St Joseph Health","12/01/1985","Yes","984","66287","67271"
"H9052","National PACE","National PACE","REGION VII AREA AGENCY ON AGING","Sunrise PACE","Region VII Area Agency on Aging, Inc.","11/01/2021","Yes","*","47","47"
"H9065","Local CCP","HMO/HMOPOS","AMH HEALTH, LLC","AMH Health","Elevance Health, Inc.","01/01/2020","Yes","*","16698","16698"
"H9066","Local CCP","HMO/HMOPOS","VISITING NURSE ASSOCIATION OF CENTRAL NEW YORK","Nascentia Health Plus","VISITING NURSE ASSOCIATION OF CENTRAL NEW YORK","01/01/2019","Yes","*","372","372"
"H9068","National PACE","National PACE","ALBRIGHT CARE SERVICES","ALBRIGHT CARE SERVICES","Asbury Communities, Inc.","01/01/2012","Yes","*","166","166"
"H9096","Local CCP","HMO/HMOPOS","DEAN HEALTH PLAN, INC.","Dean Advantage","Medica Holding Company","01/01/2016","Yes","626","9649","10275"
"H9104","Local CCP","HMO/HMOPOS","SCAN HEALTH PLAN","SCAN Health Plan","SCAN Group","03/01/1985","Yes","*","*","*"
"H9147","Local CCP","HMO/HMOPOS","BLUE CROSS AND BLUE SHIELD OF NC SENIOR HEALTH","Blue Cross and Blue Shield of North Carolina","Blue Cross and Blue Shield of North Carolina","01/01/2021","Yes","*","1867","1867"
"H9153","Local CCP","HMO/HMOPOS","WEST VIRGINIA SENIOR ADVANTAGE, INC.","West Virginia Senior Advantage","SNP Holdings, LLC","01/01/2017","Yes","*","1064","1064"
"H9179","Local CCP","HMO/HMOPOS","TRINITY HEALTH PLAN OF MICHIGAN INC","Trinity Health Plan of Michigan","Trinity Health Corporation","01/01/2024","Yes","29","1161","1190"
"H9185","National PACE","National PACE","A&D CHARITABLE FOUNDATION, INC.","Great Lakes PACE","A&D Charitable Foundation, Inc.","05/01/2015","Yes","*","170","170"
"H9191","Local CCP","HMO/HMOPOS","PROVIDER PARTNERS HEALTH PLAN OF MISSOURI, INC.","Provider Partners Health Plans","Rifkin Managed Care Holding, LLC","01/01/2021","Yes","*","1473","1473"
"H9207","Local CCP","HMO/HMOPOS","HEALTH PARTNERS PLANS, INC.","Jefferson Health Plans","Thomas Jefferson University","01/01/2014","Yes","*","13477","13477"
"H9219","Local CCP","Local PPO","AMH HEALTH PLANS OF MAINE, INC.","AMH Health","Elevance Health, Inc.","01/01/2021","Yes","*","764","764"
"H9231","Local CCP","Local PPO","DEVOTED HEALTH INSURANCE COMPANY OF TENNESSEE INC","Devoted Health","Devoted Health, Inc.","01/01/2023","Yes","*","1066","1066"
"H9239","Demo","Medicare-Medicaid Plan HMO/HMOPOS","UNITEDHEALTHCARE INSURANCE COMPANY","UnitedHealthcare","UnitedHealth Group, Inc.","01/01/2022","Yes","*","6440","6440"
"H9252","National PACE","National PACE","MOUNT SINAI ELDERCARE, INC.","Mount Sinai Eldercare","Mount Sinai Medical Center of Florida, Inc.","07/01/2023","Yes","*","15","15"
"H9258","Local CCP","HMO/HMOPOS","WELLCARE HEALTH PLANS OF RHODE ISLAND, INC.","Wellcare","Centene Corporation","01/01/2021","Yes","*","333","333"
"H9266","National PACE","National PACE","PIEDMONT HEALTH SERVICES, INC.","Piedmont Health SeniorCare","PIEDMONT HEALTH SERVICES, INC.","10/01/2008","Yes","*","269","269"
"H9276","Local CCP","HMO/HMOPOS","SUNSHINE HEALTH COMMUNITY SOLUTIONS, INC.","Allwell","Centene Corporation","01/01/2017","Yes","*","*","*"
"H9306","Local CCP","HMO/HMOPOS","ALTERWOOD ADVANTAGE, INC.","Alterwood Advantage","Alterwood Health, Inc.","01/01/2022","Yes","209","7029","7238"
"H9323","National PACE","National PACE","BEACON OF LIFE CENTRAL NJ, LLC","Beacon of LIFE PACE","Beacon Care Ventures LLC DBA BoldAge PACE","10/01/2015","Yes","*","311","311"
"H9335","Local CCP","HMO/HMOPOS","WELLCARE HEALTH PLANS OF MISSOURI, INC.","Wellcare","Centene Corporation","01/01/2021","Yes","*","693","693"
"H9357","Local CCP","Local PPO","CENTENE VENTURE INSURANCE COMPANY TEXAS","Wellcare by Allwell","Centene Corporation","01/01/2022","Yes","*","871","871"
"H9364","Local CCP","HMO/HMOPOS","WELLCARE OF MAINE, INC.","Wellcare","Centene Corporation","01/01/2019","Yes","*","7704","7704"
"H9387","Local CCP","Local PPO","SUNFLOWER STATE HEALTH PLAN, INC.","Wellcare by Allwell","Centene Corporation","01/01/2021","Yes","313","1186","1499"
"H9403","Local CCP","HMO/HMOPOS","CLEAR SPRING HEALTH (SC), INC.","Clear Spring Health","Group 1001","01/01/2017","Yes","*","95","95"
"H9412","Local CCP","Local PPO","GEISINGER QUALITY OPTIONS, INC.","Geisinger Gold","Geisinger Health","01/01/2013","Yes","*","*","*"
"H9414","Local CCP","Local PPO","Commonwealth Care Alliance Massachusetts, LLC.","Commonwealth Care Alliance Massachusetts","Commonwealth Care Alliance, Inc.","01/01/2022","Yes","*","4589","4589"
"H9428","Local CCP","Local PPO","WELLCARE HEALTH INSURANCE OF TENNESSEE, INC.","Wellcare","Centene Corporation","01/01/2020","Yes","*","1304","1304"
"H9431","Local CCP","Local PPO","FIRST HEALTH LIFE & HEALTH INSURANCE COMPANY","Aetna Medicare","CVS Health Corporation","01/01/2019","Yes","1202","10113","11315"
"H9438","National PACE","National PACE","BLUESTEM PACE, INC.","Bluestem PACE","Bluestem Communities, Inc.","08/01/2016","Yes","*","91","91"
"H9460","Local CCP","HMO/HMOPOS","CIGNA HEALTHCARE OF ST LOUIS, INC.","Cigna Healthcare","The Cigna Group","01/01/2016","Yes","*","934","934"
"H9469","Local CCP","Local PPO","WELLPOINT LIFE AND HEALTH INSURANCE COMPANY","Simply Healthcare","Elevance Health, Inc.","01/01/2023","Yes","*","818","818"
"H9485","Local CCP","Local PPO","Mass General Brigham Health Plan, Inc.","Mass General Brigham Health Plan","Mass General Brigham Incorporated","01/01/2023","Yes","*","1601","1601"
"H9489","Local CCP","HMO/HMOPOS","VERMONT BLUE ADVANTAGE, INC.","Vermont Blue Advantage","Blue Cross Blue Shield of Michigan Mutual Ins. Co.","01/01/2021","Yes","*","566","566"
"H9525","Local CCP","HMO/HMOPOS","COMPCARE HEALTH SERVICES INSURANCE CORPORATION","Anthem Blue Cross and Blue Shield","Elevance Health, Inc.","01/01/2013","Yes","*","147842","147842"
"H9564","National PACE","National PACE","PACE4DC LLC","PACE4DC LLC","Element Care INC.","03/01/2023","Yes","*","38","38"
"H9572","Local CCP","Local PPO","BCBS OF MICHIGAN MUTUAL INSURANCE COMPANY","Blue Cross Blue Shield of Michigan","Blue Cross Blue Shield of Michigan Mutual Ins. Co.","01/01/2010","Yes","244152","309606","553758"
"H9576","Demo","Medicare-Medicaid Plan HMO/HMOPOS","NEIGHBORHOOD HEALTH PLAN OF RHODE ISLAND","NEIGHBORHOOD HEALTH PLAN OF RHODE ISLAND","NEIGHBORHOOD HEALTH PLAN OF RHODE ISLAND","07/01/2016","Yes","*","13283","13283"
"H9585","Local CCP","HMO/HMOPOS","BOSTON MEDICAL CENTER HEALTH PLAN, INC.","WellSense Health Plan","BMC Health System, Inc.","01/01/2016","Yes","*","1826","1826"
"H9589","Local CCP","Local PPO","CLEAR SPRING HEALTH (GA), INC.","Clear Spring Health","Group 1001","01/01/2017","Yes","*","162","162"
"H9590","Local CCP","HMO/HMOPOS","LONGEVITY HEALTH PLAN OF ILLINOIS, INC.","Longevity Health","Longevity Health Founders, LLC","01/01/2019","Yes","*","787","787"
"H9592","National PACE","National PACE","INNOVATIVE INTEGRATED HEALTH, INC.","Innovative Integrated Health Inc.","Innovative Integrated Health, Inc.","08/01/2014","Yes","*","1089","1089"
"H9614","Local CCP","Local PPO","ALIGNMENT HEALTH INSURANCE COMPANY OF ARIZONA, INC","Alignment Health Plan","Alignment Healthcare USA, LLC","01/01/2022","Yes","*","70","70"
"H9615","Local CCP","Local PPO","MVP HEALTH PLAN, INC.","MVP HEALTH CARE","MVP Health Care, Inc.","01/01/2009","Yes","*","37962","37962"
"H9616","National PACE","National PACE","CENTRO DE SALUD DE LA COMUNIDAD DE SAN YSIDRO","San Diego PACE","Centro de Salud de la Comunidad de San Ysidro","04/01/2015","Yes","*","1871","1871"
"H9630","Local CCP","HMO/HMOPOS","ARKANSAS HEALTH AND WELLNESS HEALTH PLAN, INC","Wellcare by Allwell","Centene Corporation","01/01/2018","Yes","*","18565","18565"
"H9649","National PACE","National PACE","HOPEWEST","HopeWest PACE","Hopewest","09/01/2021","Yes","*","132","132"
"H9656","Local CCP","HMO/HMOPOS","BLUE CROSS OF IDAHO CARE PLUS, INC.","Blue Cross of Idaho","Blue Cross of Idaho Health Service, Inc.","01/01/2024","Yes","*","7757","7757"
"H9662","Local CCP","HMO/HMOPOS","CIGNA HEALTHCARE OF CALIFORNIA, INC.","Cigna","The Cigna Group","01/01/2021","Yes","*","*","*"
"H9678","Local CCP","Local PPO","HEALTHFIRST INSURANCE COMPANY, INC.","Healthfirst Medicare Plan","Healthfirst, Inc.","01/01/2023","Yes","*","2091","2091"
"H9686","Local CCP","HMO/HMOPOS","ALIGNMENT HEALTH PLAN OF NEVADA, INC.","Alignment Health Plan","Alignment Healthcare USA, LLC","01/01/2021","Yes","*","2476","2476"
"H9690","Local CCP","HMO/HMOPOS","AMERICAN HEALTH PLAN OF INDIANA INC","American Health Advantage of Indiana","Mitchell Family Office","01/01/2024","Yes","*","*","*"
"H9699","Local CCP","HMO/HMOPOS","HMO PARTNERS, INC.","Arkansas Blue Medicare","USAble Mutual Insurance Company","01/01/2014","Yes","*","1631","1631"
"H9706","Local CCP","HMO/HMOPOS","HCSC INSURANCE SERVICES COMPANY","Blue Cross and Blue Shield of Texas","Health Care Service Corporation","01/01/2020","Yes","*","4533","4533"
"H9712","Demo","Medicare-Medicaid Plan HMO/HMOPOS","HAP EMPOWERED HEALTH PLAN, INC.","HAP Empowered MI Health Link","Henry Ford Health System","05/01/2015","Yes","*","4474","4474"
"H9725","Local CCP","HMO/HMOPOS","CIGNA HEALTHCARE OF NORTH CAROLINA, INC.","Cigna Healthcare","The Cigna Group","01/01/2014","Yes","286","15457","15743"
"H9730","Local CCP","HMO/HMOPOS","WELLCARE HEALTH INSURANCE COMPANY OF KENTUCKY, INC","Wellcare","Centene Corporation","01/01/2013","Yes","*","37760","37760"
"H9761","Local CCP","Local PPO","WELLCARE HEALTH PLANS OF MASSACHUSETTS, INC.","Wellcare","Centene Corporation","01/01/2022","Yes","*","6294","6294"
"H9763","Local CCP","HMO/HMOPOS","OCHSNER HEALTH PLAN, INC.","Ochsner Health Plan","Ochsner Clinic Foundation","01/01/2022","Yes","*","3906","3915"
"H9808","Local CCP","Local PPO","CARE N' CARE INSURANCE COMPANY OF NORTH CAROLINA","CARE N'' CARE INSURANCE COMPANY OF NORTH CAROLINA","HTA Holdings, LLC","01/01/2016","Yes","*","14446","14447"
"H9811","Local CCP","HMO/HMOPOS","MAGNOLIA HEALTH PLAN, INC.","Wellcare by Allwell","Centene Corporation","01/01/2017","Yes","*","*","*"
"H9826","Local CCP","HMO/HMOPOS","COMMUNITY HEALTH CHOICE TEXAS, INC.","Community Health Choice","Harris County Hospital District","01/01/2020","Yes","*","274","274"
"H9827","Local CCP","HMO/HMOPOS","MOUNT CARMEL HEALTH PLAN OF NEW YORK, INC.","MediGold","Trinity Health Corporation","01/01/2022","Yes","12","260","272"
"H9830","National PACE","National PACE","INNOVAGE PENNSYLVANIA LIFE, LLC","InnovAge Pennsylvania LIFE","Total Community Options, Inc.","10/01/2010","Yes","*","629","629"
"H9834","Local CCP","HMO/HMOPOS","QUARTZ HEALTH PLAN MN CORPORATION","Quartz Medicare Advantage","University of Wisconsin Hospitals and Clincs Autho","01/01/2013","Yes","182","3569","3751"
